BHID,X,Y,Z,DENSITY,PGE,CU,NI,PT,PD,RH,AU
WA13D1,63695.42,-181661.31,980.77,3.7587,1.6081,0.0056,0.0405,1.2713,0.1742,0.1273,0.0353
WA130D0,61792.48,-182568.66,738.22,3.7417,4.0054,0.0262,0.1204,2.2144,1.3853,0.3351,0.0707
WA130D1,61792.39,-182568.53,738.27,3.7076,4.0328,0.0212,0.1118,2.3378,1.3116,0.3159,0.0674
WA130D2,61792.17,-182568.27,738.19,3.6688,4.2635,0.0205,0.1146,2.4915,1.3559,0.3354,0.0807
WA131D0,62161.05,-183180.47,689.06,3.4733,2.7589,0.0059,0.0895,1.9086,0.5556,0.2618,0.033
WA131D1,62160.73,-183180.41,688.71,3.545,2.7919,0.0093,0.0917,1.8951,0.6006,0.2533,0.0429
WA131D2,62160.56,-183180.36,688.93,3.5971,3.0063,0.0127,0.0978,1.9324,0.7698,0.2503,0.0538
WA132D0,62766.39,-183205.44,720.03,3.5827,2.4246,0.0016,0.0794,1.7653,0.3937,0.239,0.0266
WA132D1,62766.17,-183205.23,715,3.5461,3.0913,0.0021,0.0796,1.7912,1.0135,0.2382,0.0483
WA132D2,62766.18,-183205.23,719.98,3.5188,2.4098,0.0041,0.0817,1.7696,0.3952,0.2299,0.015
WA133D0,62392.11,-182640.92,758.67,3.6588,2.8126,0.0112,0.0956,2.0338,0.4833,0.2584,0.037
WA133D1,62391.83,-182640.66,758.77,3.6788,3.5605,0.0164,0.1023,2.099,1.1378,0.2716,0.0521
WA133D2,62391.76,-182640.59,759.37,3.6269,3.1571,0.013,0.1035,1.9504,0.9061,0.2594,0.0411
WA134D0,62652.34,-182389.7,808.45,3.5745,2.569,0.0046,0.0842,1.8096,0.5219,0.2194,0.0181
WA134D1,62652.15,-182389.55,808.07,3.54,1.8853,0.0053,0.0795,1.3896,0.2867,0.1858,0.0232
WA134D2,62652.06,-182389.45,808.02,3.6626,3.1356,0.0153,0.1021,1.7043,1.1296,0.2218,0.08
WA135D0,63212.72,-182134.81,862.27,3.5686,2.5519,0.0214,0.104,1.6611,0.6377,0.2115,0.0416
WA135D1,63212.4,-182134.52,862.07,3.5693,2.259,0.0138,0.085,1.5004,0.5434,0.1922,0.023
WA135D2,63212.21,-182134.34,862.58,3.6152,2.2189,0.009,0.0808,1.5258,0.4581,0.2108,0.0242
WA138D0,63226.36,-183504.75,732.53,3.6019,2.201,0.0165,0.103,1.4959,0.4906,0.1936,0.0209
WA138D1,63226.27,-183504.66,732.52,3.6738,2.6505,0.0131,0.0959,1.7142,0.7087,0.2023,0.0253
WA138D2,63226.07,-183504.48,732.42,3.7622,2.4158,0.0144,0.1173,1.52,0.671,0.1801,0.0448
WA139D0,63045.19,-182076.53,871.78,3.7501,2.5735,0.0193,0.1075,1.7333,0.5848,0.2287,0.0267
WA139D1,63044.92,-182076.28,871.76,3.621,2.9336,0.0183,0.1023,1.7344,0.9221,0.2268,0.0503
WA139D2,63044.84,-182076.2,871.93,3.7779,4.9574,0.0689,0.1841,2.3573,2.1757,0.2854,0.1391
WA14D0,64109.78,-182597.33,858.06,4.2452,7.4444,0.0452,0.1395,3.9672,2.894,0.4198,0.1635
WA14D1,64109.7,-182597.31,857.95,4.3518,7.5031,0.0382,0.1114,4.1037,2.8299,0.4128,0.1566
WA14D2,64109.36,-182597.23,857.96,4.4651,7.2586,0.0269,0.1082,4.2253,2.4553,0.4882,0.0897
WA142D0,63129.67,-182968.02,763.44,3.8309,2.3412,0.004,0.0852,1.7947,0.281,0.25,0.0155
WA142D1,63129.51,-182967.86,763.66,4.0839,2.3563,0.005,0.0857,1.611,0.4832,0.2424,0.0198
WA142D2,63129.41,-182967.77,763.56,3.4756,1.7017,0.003,0.0665,1.2359,0.2645,0.1846,0.0167
WA15D0,64495.65,-181861.3,1007.41,3.6848,1.4679,0.0053,0.0312,1.1319,0.2462,0.0545,0.0353
WA15D1,64495.57,-181861.22,1007.92,3.5771,1.1239,0.0042,0.0301,0.8429,0.1605,0.0904,0.0302
WA15D2,64495.45,-181861.09,1007.51,3.7005,1.6608,0.0049,0.036,1.3203,0.1907,0.1123,0.0375
WA16D0,63997.21,-183183.17,779.1,3.8543,2.2609,0.0074,0.0518,1.5895,0.412,0.2178,0.0415
WA19D0,64264.18,-181953.81,951.94,3.7574,2.86,0.051,0.0832,1.8733,0.7083,0.1949,0.0835
WA19D1,64264.24,-181953.75,951.71,3.7872,2.5465,0.0259,0.068,1.8254,0.5015,0.186,0.0336
WA19D2,64264.29,-181953.7,951.8,3.7157,2.9771,0.0518,0.0834,1.995,0.6936,0.1859,0.1026
WA20D0,63121.32,-181198.02,1038.31,4.1422,4.5095,0.01,0.0529,2.8976,1.2915,0.2599,0.0604
WA20D1,63121.22,-181197.92,1038.21,3.9526,4.0479,0.0087,0.044,2.8176,0.8859,0.2908,0.0535
WA25D0,62748.59,-181116.8,1038.63,3.7135,5.8314,0.0074,0.0434,3.7408,1.4635,0.5937,0.0334
WA25D1,62748.48,-181116.69,1037.76,3.5923,6.3049,0.0103,0.0536,3.5452,2.1424,0.5629,0.0544
WA25D2,62748.39,-181116.61,1038.35,3.7155,5.9788,0.0075,0.0589,3.99,1.3682,0.5682,0.0524
WA27D0,63003.76,-181210.55,1032.13,4.0003,5.0998,0.0079,0.0503,3.5364,0.9985,0.5265,0.0383
WA28D0,61529.41,-181252.66,929.23,4.0797,6.8942,0.006,0.0561,3.9462,2.2855,0.5948,0.0677
WA30D0,62669.61,-183575.69,678.45,3.599,2.3291,0.0056,0.0635,1.7575,0.3592,0.1854,0.027
WA30D2,62669.5,-183575.53,678.4,3.6795,3.4342,0.0095,0.0601,2.1518,0.9866,0.2178,0.078
WA31D0,61910.09,-183794.05,619.24,3.9012,6.4886,0.0713,0.206,3.2287,2.7431,0.3507,0.1661
WA31D1,61910.15,-183793.97,618.95,3.9312,6.5776,0.0517,0.1802,3.4003,2.6439,0.3688,0.1646
WA31D2,61910.25,-183793.88,619.14,3.8541,4.876,0.0274,0.136,2.7065,1.7413,0.3265,0.1018
WA32D0,61769.99,-180939.59,1005.02,3.8795,3.9947,0.0059,0.0912,3.0273,0.6091,0.3352,0.0231
WA32D1,61770.01,-180939.67,1005.01,3.945,3.5838,0.0069,0.0896,2.6453,0.64,0.2828,0.0158
WA32D2,61770.05,-180939.92,1005.27,4.0084,6.6921,0.007,0.0748,4.3136,1.8208,0.5137,0.044
WA33D0,61687.48,-180631.36,1054.07,4.1216,6.5125,0.015,0.0805,4.111,1.9051,0.4036,0.0929
WA33D1,61687.43,-180631.28,1054.04,4.1976,6.8092,0.0102,0.0781,4.3091,2.0075,0.4264,0.0662
WA33D2,61687.31,-180631.13,1053.98,4.2575,6.9775,0.0098,0.0931,4.2047,2.2207,0.4458,0.1063
WA34D0,62204.61,-182948.89,713,3.6685,2.927,0.0097,0.0921,1.9415,0.6867,0.2229,0.0759
WA34D1,62204.51,-182948.8,713.26,3.6474,2.7288,0.0088,0.0878,1.8216,0.6228,0.2348,0.0496
WA34D2,62204.43,-182948.7,713,3.7036,2.5965,0.0065,0.0881,1.8607,0.4474,0.2467,0.0417
WA36D0,62864.13,-181625.44,936.96,4.2258,8.0091,0.0446,0.1623,4.5006,2.7548,0.6577,0.0959
WA36D1,62864.15,-181625.45,937.03,4.1977,7.5552,0.0375,0.1531,4.2191,2.6507,0.6034,0.082
WA36D2,62864.15,-181625.45,937.01,4.2415,8.3516,0.0334,0.1479,4.5573,3.0302,0.6843,0.0798
WA39D0,62540.38,-181643.86,910.24,3.8433,6.4025,0.0318,0.1428,3.5131,2.419,0.3631,0.1072
WA39D1,62540.37,-181643.86,910.19,3.8521,5.9411,0.0309,0.1399,3.3431,2.1106,0.377,0.1103
WA39D2,62540.32,-181643.81,910.15,3.9088,6.3774,0.0602,0.1987,3.4005,2.4343,0.3802,0.1624
WA40D0,61635.28,-183240.56,661.63,3.6888,4.1709,0.029,0.1185,2.3186,1.4604,0.3242,0.0677
WA40D1,61635.29,-183240.53,661.55,3.6174,3.6803,0.0245,0.1068,2.2484,1.0539,0.3142,0.0639
WA41D0,61243.38,-180567.05,1035.21,4.3099,7.2538,0.0321,0.1758,4.1082,2.3806,0.5989,0.1662
WA41D1,61243.3,-180566.98,1035.15,4.1592,7.6453,0.0322,0.1809,4.189,2.6992,0.6145,0.1425
WA41D2,61243.21,-180566.91,1035.31,4.1784,6.8444,0.0206,0.1499,4.0656,2.1404,0.58,0.0585
WA42D0,63182,-182462.44,822.59,3.455,1.4565,0.0091,0.0898,0.9461,0.3641,0.1202,0.0262
WA42D1,63181.88,-182462.42,822.41,3.4394,1.1238,0.007,0.087,0.7421,0.2453,0.1102,0.0262
WA42D2,63181.73,-182462.38,822.59,3.5425,1.7522,0.0091,0.0946,1.1989,0.3607,0.1569,0.0357
WA43D0,63681.35,-182468.73,834.52,3.5026,2.4285,0.0064,0.0712,1.5025,0.6947,0.1952,0.036
WA43D1,63681.39,-182468.66,834.56,3.5843,2.2399,0.0063,0.0728,1.565,0.4486,0.1954,0.0309
WA43D2,63681.41,-182468.53,833.56,3.5645,2.016,0.0068,0.0781,1.4429,0.3616,0.1778,0.0337
WA44D0,61750.18,-182194.88,789.72,3.8895,5.9788,0.0478,0.1624,3.2134,2.2198,0.4184,0.1273
WA44D2,61749.61,-182194.41,789.58,3.884,4.655,0.0361,0.1423,2.6614,1.5362,0.3757,0.0817
WA44D3,61750.16,-182194.83,789.6,3.9226,5.7643,0.04,0.1552,3.068,2.151,0.441,0.1043
WA45D0,62309.13,-184177.61,600.81,3.9707,5.8553,0.0345,0.1478,2.8667,2.3759,0.4407,0.1721
WA45D1,62309.16,-184177.52,601.35,3.8308,5.2742,0.0321,0.1443,2.8765,1.8225,0.4292,0.1461
WA45D2,62309.08,-184177.41,601.49,3.98,5.0786,0.0307,0.1357,3.019,1.5354,0.4062,0.1179
WA49D0,63490.12,-183099.8,775.94,3.7196,2.5822,0.008,0.0804,1.7788,0.5706,0.2013,0.0315
WA49D1,63490.09,-183099.72,775.87,3.7627,2.7229,0.0088,0.0864,1.9157,0.5273,0.2466,0.0333
WA49D2,63490.05,-183099.58,775.97,3.72,2.3502,0.0092,0.0809,1.6635,0.4202,0.2405,0.026
WA50D0,62346.68,-182307.72,805.14,3.75,2.7983,0.0141,0.0895,1.8647,0.8199,0.0598,0.054
WA50D1,62346.74,-182307.59,804.95,3.6633,2.6979,0.0382,0.1926,1.7506,0.6665,0.2265,0.0543
WA50D3,62346.78,-182307.48,805.03,3.6391,2.6369,0.0108,0.0787,1.6233,0.7482,0.2228,0.0426
WA51D0,62894.98,-182837.08,759.58,3.6539,2.6181,0.0045,0.0858,1.6935,0.6624,0.2377,0.0244
WA52D0,62161.59,-181769.17,841.77,3.6988,2.1124,0.0108,0.074,1.445,0.4366,0.2029,0.028
WA52D1,62161.61,-181769.08,841.93,3.7682,1.8424,0.0102,0.0817,1.2283,0.411,0.1708,0.0323
WA52D2,62161.64,-181768.98,841.91,3.6684,2.1262,0.0085,0.0714,1.5311,0.3569,0.212,0.0262
WA53ID0,61253.07,-181004.2,937.59,3.7752,2.1208,0.0076,0.0848,1.6654,0.2105,0.2187,0.0262
WA54ID0,61411.67,-181143.25,945.52,4.2214,6.2961,0.0117,0.114,3.6428,1.9624,0.5619,0.1291
WA57ID0,62301.77,-181603.94,881.3,3.6347,3.4741,0.0251,0.1057,2.0155,1.1169,0.2838,0.0578
WA58ID0,62569.73,-181944.98,858.1,3.3706,2.7961,0.0205,0.0908,1.7704,0.7244,0.2528,0.0485
WA59ID0,62820.36,-182121.05,851.51,3.4818,5.8752,0.0219,0.1462,2.43,2.9112,0.4427,0.0912
WA60ID0,63406.44,-182687.3,799.01,3.6331,1.5085,0.0058,0.0735,1.0829,0.2104,0.1889,0.0262
WA61ID0,61161.65,-180234.61,1075.05,4.2038,5.8796,0.0082,0.1266,3.7239,1.5228,0.6011,0.0318
WA62ID0,61312.79,-180299.8,1083.05,4.041,6.2865,0.0079,0.1201,3.9118,1.7893,0.5565,0.0288
WA63ID0,61462.11,-180354.81,1089.85,3.9975,5.7781,0.0078,0.1179,3.5381,1.6736,0.5401,0.0262
WA64ID0,61610.01,-180379.5,1101.04,4.179,6.2755,0.0091,0.1303,3.843,1.8057,0.5389,0.0879
WA65ID0,61824.64,-180461.66,1101.95,4.2809,6.4373,0.0091,0.1216,4.1147,1.6894,0.5888,0.0444
WA66ID0,62002.8,-180584.05,1089.77,3.97,5.1422,0.0093,0.1174,3.3351,1.259,0.5179,0.0302
WA67ID0,62138.74,-180896.25,1037.9,4.0727,9.4174,0.0123,0.1357,4.5069,4.0078,0.7425,0.1602
WA68ID0,62271.23,-181057.92,1005.08,3.4679,2.3323,0.0135,0.0855,1.2543,0.82,0.2331,0.025
WA69ID0,62441,-181058.59,1024.91,4.0011,6.3391,0.0209,0.1332,3.6484,2.038,0.5519,0.1007
WA70ID0,63216.99,-181257.3,1033.58,3.9838,4.7882,0.0152,0.0877,2.955,1.3594,0.4032,0.0707
WA71ID0,63336.4,-181347.59,1029.59,4.275,6.1908,0.0082,0.1264,4.1477,1.3688,0.6363,0.038
WA72ID0,63428.91,-181451.22,1010.89,3.8509,6.1229,0.0283,0.1644,3.0049,2.5451,0.465,0.1079
WA73ID0,63558.36,-181559.84,993.71,4.0356,6.8763,0.0174,0.1309,3.6703,2.5183,0.0996,0.5881
WA74ID0,63836.57,-181756.19,962.03,3.8911,3.4408,0.0125,0.1001,2.2443,0.8286,0.3248,0.0431
WA75ID0,63980.66,-181797.94,971.5,3.6126,4.226,0.0469,0.1377,1.9413,1.8431,0.3296,0.112
WA76ID0,64084.57,-181911.22,955,3.9221,6.7666,0.0455,0.19,3.2657,2.8141,0.557,0.1298
WA77ID0,64424.95,-181986.09,983.71,3.7482,5.5396,0.0237,0.1215,3.0198,1.923,0.5234,0.0734
WA78ID0,64541.61,-182091,997.93,3.7452,4.7413,0.0245,0.1312,3.1312,1.0552,0.4696,0.0854
WA79ID0,63675.54,-182925.53,792.45,3.5665,1.8807,0.0244,0.1516,1.3596,0.3061,0.1978,0.0172
WA80D0,62154.99,-183413.11,661.63,3.6275,2.4953,0.0164,0.0935,1.5388,0.734,0.187,0.0355
WA80D1,62154.93,-183413.08,661.56,3.6093,2.7435,0.0203,0.1056,1.7714,0.6892,0.2404,0.0426
WA80D2,62154.8,-183413.13,661.6,3.5235,2.5611,0.0171,0.1005,1.6231,0.6821,0.2151,0.0407
WA84D0,61644.71,-181719.95,817.32,3.5971,4.5453,0.0169,0.1229,2.4881,1.5793,0.3779,0.0999
WA84D1,61644.52,-181720.14,817.42,3.6314,7.7267,0.02,0.1329,3.499,3.5504,0.5462,0.1311
WA86D0,62515.04,-181227.56,990.3,4.2468,7.6114,0.0146,0.136,4.4845,2.3434,0.6947,0.0889
WA86D1,62514.93,-181227.47,990.22,4.2491,7.337,0.0163,0.1375,4.3991,2.1598,0.6993,0.0788
WA86D2,62514.83,-181227.38,990.37,4.2444,6.1768,0.0119,0.1339,3.85,1.6585,0.6054,0.0629
WA87D0,62411.9,-181323.5,958.37,4.4815,6.0593,0.0183,0.1382,3.6221,1.8086,0.5603,0.0682
WA87D1,62411.74,-181323.34,958.31,4.4842,6.1078,0.0169,0.1305,3.7024,1.7068,0.6119,0.0867
WA87D2,62411.57,-181323.19,957.99,4.3633,6.7549,0.0125,0.1306,4.0758,1.9448,0.6831,0.0513
WA88D0,62278.99,-181475.2,913.63,4.2106,5.7997,0.0222,0.145,3.1399,2.1102,0.4604,0.0892
WA88D1,62278.92,-181475.14,913.61,4.1924,6.0114,0.0235,0.1521,3.3705,2.0232,0.5203,0.0974
WA88D2,62278.82,-181475.05,913.75,4.2033,5.7731,0.0208,0.1424,3.2425,1.9943,0.4516,0.0848
WA89D0,62111.35,-181631.59,840.33,3.9934,4.6392,0.0137,0.1193,2.6482,1.5029,0.4151,0.0729
WA89D1,62111.29,-181631.64,840.5,3.9662,4.534,0.0161,0.1254,2.5595,1.5082,0.3912,0.0751
WA89D2,62111.23,-181631.67,840.44,4.074,5.5212,0.0205,0.133,2.8541,2.0893,0.4635,0.1143
WA91D0,62682.86,-181308.59,987.75,4.1815,6.8229,0.0139,0.1378,3.8782,2.2638,0.6128,0.0681
WA91D1,62682.72,-181308.45,987.82,4.117,6.8073,0.011,0.1317,3.9145,2.1983,0.6211,0.0734
WA91D2,62682.64,-181308.39,987.82,4.089,7.1033,0.0123,0.1349,4.2671,2.0882,0.6821,0.0658
WA92D0,62542.17,-181455.45,945.17,3.9364,5.5315,0.0437,0.1552,3.1356,1.8027,0.4964,0.0967
WA92D1,62542,-181455.28,945.11,3.8631,6.433,0.058,0.2003,3.3848,2.4321,0.4553,0.1608
WA92D2,62541.91,-181455.2,944.95,4.0839,5.7215,0.027,0.1398,3.5736,1.524,0.5278,0.0962
WA93D0,62393.59,-181614.78,896.08,3.6635,3.4181,0.0202,0.1019,2.0971,0.9472,0.2946,0.0793
WA94D0,61963.13,-182176.13,789.15,3.7401,3.5429,0.0237,0.1171,2.0892,1.1104,0.2644,0.079
WA95D0,61549.74,-182028.36,807.77,4.2573,7.9268,0.0284,0.156,4.0967,2.9798,0.7174,0.1329
WA96D0,61396.58,-181937.66,821.95,4.0098,6.5916,0.0183,0.1606,3.5806,2.3751,0.5224,0.1134
WA97D0,61477.23,-182296.52,773.37,4.0317,5.3478,0.0095,0.1038,3.7719,0.9953,0.5327,0.048
WA98D0,61528.23,-182500.69,743.66,4.3106,6.535,0.0417,0.1832,3.3394,2.5197,0.5064,0.1695
WA98D1,61528.15,-182500.61,743.5,4.2212,7.5166,0.0482,0.1851,3.8381,2.9121,0.5964,0.1701
WA98D2,61528.07,-182500.53,743.46,4.208,6.5608,0.0316,0.1519,3.6047,2.2541,0.5809,0.1211
WA99D0,61587.11,-181538.95,798.98,4.0848,1.5746,0.0095,0.1171,1.2342,0.1285,0.1939,0.018
WW100D0,59144.55,-181249.03,739.08,4.1306,5.9034,0.0067,0.1191,3.8894,1.4295,0.571,0.0134
WW101D0,59109.07,-180586.52,809.59,4.2237,6.1634,0.0074,0.1222,4.0824,1.4878,0.5272,0.0659
WW102D0,58773.93,-180510.88,783.42,3.8713,2.9337,0.0084,0.1067,1.9765,0.6315,0.2887,0.037
WW103D0,58855.36,-179179.19,945.01,4.108,6.8766,0.0207,0.1471,4.0209,2.1445,0.6224,0.0888
WW104D0,60648.66,-181123.78,911.97,3.9081,5.7723,0.0071,0.1302,3.1851,2.0893,0.425,0.0729
WW104D2,60648.43,-181123.77,911.17,3.7953,6.3865,0.0086,0.132,2.8801,2.9737,0.406,0.1267
WW105D0,60559.66,-180992,919.75,4.0567,6.8014,0.0321,0.1269,3.5463,2.6309,0.5235,0.1007
WW106D0,58624.93,-178951.23,947.41,4.1506,8.8405,0.0283,0.1593,4.4441,3.5711,0.6927,0.1325
WW106D1,58624.88,-178951.34,947.42,4.1837,6.9995,0.0195,0.1342,4.1313,2.1424,0.6348,0.0909
WW106D2,58624.83,-178951.47,947.36,4.2524,8.0524,0.0285,0.1551,4.2131,3.0258,0.7086,0.1049
WW107D0,57819.05,-178551.67,917.72,4.3817,8.9718,0.0263,0.1554,4.674,3.3571,0.7503,0.1904
WW107D1,57818.94,-178551.72,917.5,4.466,8.2551,0.0266,0.1592,4.6387,2.7215,0.7686,0.1263
WW107D2,57818.8,-178551.78,917.59,4.3402,7.8368,0.0267,0.1605,4.3352,2.718,0.6615,0.1221
WW108D0,57991.14,-178887.02,890.58,4.0399,14.4988,0.0155,0.1335,6.6326,6.7226,0.8371,0.3065
WW108D1,57991.2,-178887,890.58,4.0721,5.6975,0.0083,0.1067,3.6101,1.4542,0.5664,0.0668
WW108D2,57991.22,-178886.97,890.71,4.0701,7.0029,0.0085,0.106,3.8354,2.5134,0.5739,0.0802
WW109D0,59078.67,-179405.13,940.23,3.9107,6.2395,0.0103,0.1116,3.7332,1.8327,0.6022,0.0713
WW109D1,59078.71,-179405.02,940.25,3.898,7.118,0.008,0.1078,4.3211,2.0628,0.6995,0.0346
WW109D2,59078.81,-179404.8,940.69,3.9196,6.1433,0.0239,0.1405,3.4603,2.0343,0.5641,0.0846
WW110D0,58302.94,-181619.14,571.41,3.8379,5.8871,0.0102,0.1276,3.2938,1.978,0.5242,0.0912
WW110D2,58303.2,-181618.97,571.34,3.8823,8.9325,0.0099,0.1341,4.1269,4.0062,0.5613,0.238
WW112D0,57905.27,-180618.08,657.14,3.7994,3.381,0.0118,0.1031,2.2097,0.8293,0.2862,0.0558
WW112D1,57905.15,-180617.98,657,3.7186,3.1458,0.0103,0.1074,2.3009,0.511,0.3015,0.0324
WW112D2,57905.07,-180617.91,657.03,3.6204,3.9495,0.0116,0.1055,2.6871,0.8685,0.3216,0.0724
WW114D0,57142.45,-180209.7,648.31,3.8344,3.8201,0.0062,0.1166,2.4974,0.9249,0.3702,0.0275
WW114D2,57142.49,-180209.42,648.07,3.9661,7.2019,0.0105,0.1353,3.7616,2.7955,0.5428,0.102
WW116D0,57434.32,-179633.14,727.99,4.0321,7.3012,0.0137,0.1302,4.2948,2.3399,0.5314,0.1351
WW116D1,57434.36,-179633.06,727.77,4.0089,6.5131,0.0077,0.1168,4.2411,1.6076,0.5898,0.0745
WW116D2,57434.4,-179632.94,727.59,4.0682,6.5758,0.012,0.1256,4.3142,1.6163,0.5698,0.0755
WW119D0,56836.88,-180586.73,565.81,4.204,6.3821,0.0175,0.1439,4.1091,1.5934,0.6031,0.0765
WW119D1,56836.77,-180586.77,565.71,4.0471,9.3102,0.0215,0.1499,4.5646,3.7425,0.8866,0.1164
WW119D3,56836.51,-180586.81,565.48,4.1159,8.3126,0.0166,0.1432,4.7204,2.7887,0.6859,0.1176
WW121D1,59098.65,-179920.63,880.75,4.266,7.3278,0.027,0.1558,3.9033,2.7089,0.5961,0.1193
WW121D3,59098.46,-179920.45,880.72,4.2138,6.666,0.0366,0.1794,3.4489,2.5779,0.4922,0.1469
WW122D0,59418.84,-180370.39,874.02,3.7021,6.0655,0.0125,0.1122,3.7761,1.6635,0.54,0.0858
WW122D1,59418.74,-180370.3,874.15,3.6869,6.2929,0.0218,0.1315,3.7834,1.8747,0.5521,0.0827
WW122D2,59418.64,-180370.2,874.35,3.7552,6.3633,0.0159,0.1183,3.7692,2.0077,0.4634,0.1229
WW125D1,57292.64,-179056.7,793.95,3.7219,3.9041,0.0144,0.1182,2.1674,1.3404,0.3212,0.0751
WW125D2,57292.49,-179056.56,793.76,3.7261,2.8827,0.0075,0.1014,2.0617,0.5205,0.278,0.0225
WW125D4,57292.29,-179056.38,794,3.7455,4.2613,0.0135,0.1121,2.7893,1.0192,0.3826,0.0702
WW126D0,57703.14,-181556.94,528.92,4.1298,8.3897,0.0239,0.1709,4.2983,3.2977,0.6862,0.1075
WW128D0,58140.38,-179184.56,865.52,4.1151,8.7605,0.0268,0.1645,4.5728,3.3843,0.7144,0.089
WW128D1,58140.33,-179184.66,865.25,4.0724,6.2021,0.0186,0.1458,3.7527,1.8255,0.5549,0.0691
WW128D2,58140.29,-179184.73,865.37,4.0718,9.0296,0.0355,0.1829,4.5758,3.6284,0.6522,0.1732
WW129D0,58135.53,-181874.69,558.4,4.1506,7.5224,0.0098,0.1426,4.2485,2.5205,0.6499,0.1035
WW132D0,57223.55,-179480.25,729.31,3.6319,2.7163,0.0037,0.0766,2.1565,0.2691,0.2772,0.0134
WW132D2,57223.6,-179480.27,729.25,3.5059,2.6952,0.0035,0.0661,2.0984,0.3212,0.2574,0.0181
WW132D3,57223.44,-179480.2,729.37,3.9339,2.61,0.0038,0.0748,2.1053,0.2381,0.2474,0.0191
WW133D0,60124.02,-180792.38,904.42,3.9425,4.0786,0.0089,0.088,3.1101,0.5773,0.3751,0.016
WW133D1,60123.91,-180792.56,904.37,3.8774,3.1468,0.0089,0.0866,2.4647,0.3516,0.3138,0.0167
WW133D2,60123.82,-180792.69,904.72,3.951,3.0553,0.0075,0.0833,2.4005,0.3222,0.3187,0.0139
WW134D0,57807.46,-180217.56,682.05,4.0107,7.0024,0.0133,0.1326,4.0094,2.3309,0.593,0.0691
WW134D1,57807.58,-180217.66,681.54,4.2108,10.1227,0.0293,0.1759,4.6827,4.5512,0.7107,0.1781
WW134D3,57807.68,-180217.73,681.51,4.163,8.5597,0.0202,0.1444,4.1396,3.6709,0.6212,0.128
WW135D0,57527.16,-179965.13,691.39,3.8038,4.4246,0.0112,0.1158,2.8398,1.1581,0.3681,0.0586
WW135D1,57527.11,-179965.14,691.33,3.9824,5.0526,0.0117,0.1147,3.0689,1.469,0.4278,0.0869
WW135D2,57527.08,-179965.13,691.47,4.1337,5.4009,0.0127,0.1264,3.421,1.4347,0.4713,0.0739
WW138D0,60480.2,-180905.63,923.77,3.9065,5.8413,0.0081,0.1399,3.9701,1.2378,0.5789,0.0545
WW138D2,60479.99,-180905.42,923.66,3.8309,6.34,0.0106,0.1385,3.5969,2.0661,0.586,0.091
WW138D5,60480.09,-180905.53,923.84,3.9821,6.7404,0.0638,0.1734,3.8962,2.1543,0.5654,0.1245
WW15D0,57172.14,-180523.98,620.87,3.5387,2.4444,0.0069,0.0397,1.859,0.2691,0.2726,0.0438
WW15D1,57172.2,-180523.97,620.83,3.5087,2.9766,0.0063,0.041,2.2334,0.3848,0.3243,0.0342
WW15D2,57172.28,-180523.94,620.94,3.5,2.487,0.0055,0.0396,1.8907,0.2652,0.2903,0.0409
WW15D3,57172.39,-180523.91,620.81,3.345,3.7761,0.0094,0.0504,2.1264,1.3395,0.2524,0.0578
WW16D0,57627.67,-181328.89,561.89,3.8301,8.2898,0.0223,0.1001,4.0069,3.6808,0.4433,0.1589
WW16D1,57627.63,-181328.88,561.96,3.8699,5.3872,0.0102,0.0636,3.0564,1.8075,0.4253,0.0981
WW16D2,57627.62,-181328.86,561.98,3.911,5.8522,0.0094,0.0514,3.1097,2.2419,0.4102,0.0903
WW17D0,58142.9,-182267.67,478.93,3.6311,7.9396,0.0076,0.0585,3.2038,4.0309,0.5348,0.1702
WW17D1,58142.84,-182267.73,478.81,3.7421,7.2229,0.006,0.0603,3.9193,2.6978,0.513,0.0928
WW17D2,58142.74,-182267.84,479.09,3.789,5.2378,0.0267,0.1586,3.1317,1.6006,0.4513,0.0542
WW18D0,58041.03,-179553.19,804.07,3.6956,8.2311,0.0058,0.0428,4.025,3.4633,0.5649,0.1778
WW18D1,58040.93,-179553.09,804.15,3.714,5.448,0.0067,0.0375,3.2207,1.6943,0.4032,0.1297
WW18D2,58040.82,-179553,804.13,3.6439,5.0578,0.0061,0.0441,2.966,1.6649,0.3497,0.0772
WW18D3,58040.73,-179552.91,804.16,3.7401,4.7803,0.0073,0.0414,2.8543,1.5024,0.3598,0.0638
WW19D0,57377.61,-179934.33,677.04,3.7167,6.0081,0.0118,0.0652,2.7212,2.8738,0.3485,0.0646
WW19D1,57377.51,-179934.23,677.67,3.8047,5.8887,0.0095,0.0493,3.2543,2.1528,0.3907,0.0909
WW19D2,57377.41,-179934.14,677.15,3.72,5.3869,0.0051,0.0426,3.0427,1.922,0.35,0.0722
WW20D0,57693.09,-180625.31,627.44,3.6741,6.1055,0.024,0.1093,3.1002,2.3859,0.482,0.1373
WW20D1,57693.09,-180625.31,627.39,3.6885,7.2038,0.0188,0.0901,3.4921,3.0746,0.4962,0.1409
WW21D0,58503.56,-181949.42,554.29,3.9165,7.2906,0.0118,0.0732,3.6078,2.9663,0.5696,0.1468
WW21D1,58503.51,-181949.42,554.21,3.8089,5.8701,0.0079,0.0538,3.2391,1.9639,0.5823,0.0848
WW21D2,58503.43,-181949.52,554.6,3.729,4.4961,0.0075,0.0621,2.5045,1.5167,0.3984,0.0765
