BHID,X,Y,Z,DENSITY,PGE,CU,NI,PT,PD,RH,AU
WC22D1,61333.95,-182911.83,674.1,3.8948,4.1938,0.0333,0.1281,2.4171,1.2915,0.0689,0.4164
WC22D2,61333.88,-182911.67,674.25,3.8565,3.247,0.0249,0.1531,1.9411,0.9732,0.0351,0.2975
WC23D0,60729.25,-182971.48,635.41,3.9693,5.9639,0.027,0.1253,3.1396,2.2902,0.4301,0.104
WC23D1,60729.2,-182971.39,635.29,3.9834,5.1011,0.0028,0.0877,2.9491,1.6577,0.4062,0.0881
WC23D2,60729.15,-182971.27,635.21,3.951,5.2677,0.035,0.1418,2.9183,1.8474,0.4072,0.0948
WC24D0,61283.75,-182182.89,786.42,4.0267,5.1867,0.0096,0.1113,3.3377,1.2615,0.5306,0.057
WC24D1,61283.67,-182182.91,786.33,4.0189,5.5281,0.0103,0.116,3.4984,1.4083,0.5503,0.0711
WC24D2,61283.52,-182182.91,785.42,3.9912,5.4392,0.0116,0.1168,2.9517,1.8728,0.5228,0.0919
WC24D3,61283.32,-182182.89,786.45,4.053,6.2775,0.0145,0.1262,3.5888,2.0453,0.5464,0.097
WC26SD0,61128.3,-182885.56,664.06,3.8169,3.9357,0.0158,0.103,2.3234,1.2037,0.337,0.0717
WC27D0,61471.71,-183966.03,571.59,3.8649,7.2071,0.0402,0.1701,3.8043,2.6026,0.6526,0.1476
WC27D1,61471.75,-183965.89,571.7,3.8453,7.4178,0.0373,0.1643,3.8672,2.7731,0.6277,0.1499
WC27D2,61471.75,-183965.75,571.93,3.8645,6.6131,0.0305,0.1502,3.7141,2.2119,0.5952,0.0919
WC28D0,60914.33,-183796.67,546.55,3.8916,6.0867,0.017,0.1161,3.2516,2.2427,0.5027,0.0897
WC28D1,60914.29,-183796.72,546.69,3.8682,5.322,0.013,0.1116,2.965,1.8092,0.4677,0.0802
WC28D2,60914.23,-183796.78,546.47,3.9229,10.1408,0.0213,0.1266,4.7966,4.4274,0.7449,0.1719
WC29D0,59757.83,-182456.61,632.4,3.9684,6.1878,0.0086,0.1215,3.5423,2.0489,0.528,0.0687
WC29D1,59757.94,-182456.52,632.31,3.9907,7.1708,0.017,0.1298,3.673,2.7925,0.5592,0.146
WC29D2,59758.05,-182456.45,632.17,4.0124,6.9775,0.0106,0.1258,3.777,2.5149,0.565,0.1206
WC30D0,58087.16,-182881.44,395.49,4.3713,9.2768,0.0242,0.1518,5.3681,2.9231,0.9081,0.0775
WC30D1,58087.06,-182881.39,395.65,4.3828,7.1349,0.0179,0.1411,4.0223,2.4088,0.6009,0.103
WC30D2,58086.99,-182881.34,395.55,4.3102,5.5795,0.0133,0.1188,4.0782,0.8553,0.6154,0.0306
WC31D0,61166.23,-182580.09,715.86,4.0066,7.0521,0.0424,0.1749,3.87,2.4757,0.588,0.1184
WC32D0,60891.82,-182859.33,655.17,3.8812,4.9996,0.0519,0.155,2.6335,1.8507,0.3934,0.122
WC33ID0,60717.37,-182647.8,683.97,4.1109,6.4366,0.0288,0.1375,3.6509,2.1386,0.5519,0.0951
WC36D0,58602.38,-183119.34,447.89,3.9984,7.3219,0.0199,0.1492,3.4628,3.2044,0.5495,0.1052
WC5D1,58495.06,-183053.34,441.41,3.8748,5.7474,0.0103,0.0532,3.2241,1.9748,0.4722,0.0763
WC5D2,58495.2,-183053.38,442.08,3.9585,5.5996,0.0127,0.068,3.4313,1.6044,0.4836,0.0804
WC6D0,59008.64,-183138.11,497.8,3.5968,3.1624,0.0043,0.0492,2.2745,0.5693,0.2614,0.0573
WC6D1,59008.72,-183137.95,497.66,3.5924,3.1805,0.0036,0.048,2.3314,0.5147,0.2813,0.0531
WC6D2,59008.73,-183137.83,497.82,3.6299,3.652,0.0059,0.0522,2.1003,1.224,0.2742,0.0534
WC7D1,58658.9,-183553.67,407.35,3.6281,2.7399,0.0176,0.0593,1.7132,0.6968,0.2661,0.0639
WC7D2,58655.06,-183560.83,407.97,3.5433,4.4157,0.0558,0.1664,2.6739,1.2938,0.3219,0.1261
WC7D3,58655.05,-183560.75,407.7,3.5598,4.1939,0.0214,0.0709,2.4845,1.3305,0.2603,0.1186
WC9D0,60479.72,-184570.3,393.98,3.9171,5.5186,0.0297,0.0759,3.0953,1.8909,0.4357,0.0968
WC9D1,60479.84,-184570.48,395.13,3.9461,5.4188,0.0216,0.0704,3.1175,1.826,0.3748,0.1005
